Insee (Synthese!Insee);An Obs;Cd Ref;Nb Obs
80830;2016;3302;6
80600;2016;3302;6
80333;2000;3192;6
80222;2022;4129;6
80222;2019;102901;6
80713;2007;974;6
80688;2019;3791;6
80649;2020;4187;6
80688;2015;101220;6
80462;2017;4117;6
80580;2017;87964;6
80333;2019;4013;6
80244;2007;141499;6
80806;2022;3036;6
80633;2019;106698;6
80228;2021;1958;6
80333;2000;2411;6
80030;2020;4625;6
80713;2021;4308;6
80633;2021;3036;6
80228;2014;4129;6
80649;2019;4582;6
80688;2015;1958;6
80688;2018;534753;6
80808;2019;3764;6
80333;2007;1973;6
80808;2020;139841;6
80333;2009;80759;6
80486;2010;120732;6
80228;2016;3424;6
80600;2008;4184;6
80462;2017;4525;6
80030;2019;3978;6
80333;2004;1966;6
80806;2020;4669;6
80580;2021;4494;6
80333;1993;119812;6
80688;2020;96534;6
80830;2016;4257;6
80688;2009;112727;6
80713;2017;105441;6
80228;2015;4583;6
80600;2015;2767;6
80688;2015;718377;6
80713;2019;96180;6
80222;2020;4129;6
80332;2014;88949;6
80222;2005;351;6
80713;2015;534748;6
80713;2013;3161;6
80688;2014;117201;6
80228;2019;4494;6
80713;1997;1027359;6
80222;2021;4342;6
80665;2007;2559;6
80649;1994;120192;6
80109;2015;2623;6
80806;1999;3967;6
80030;2019;2706;6
80713;2010;4167;6
80688;2020;87476;6
80087;2017;931202;6
80590;2007;105966;6
80250;2019;3297;6
80149;2021;4525;6
80344;2010;193114;6
80333;1993;89845;6
80633;2023;889047;6
80248;2017;3741;6
80228;2011;1972;6
80649;2009;4117;6
80787;1979;1958;6
80649;2019;113260;6
80303;1994;88477;6
80649;2020;4466;6
80486;2020;98921;6
80228;2021;2517;6
80222;2022;3603;6
80713;2000;2757;6
80649;2010;3656;6
80633;2015;434405;6
80633;2009;4212;6
80228;2018;4669;6
80228;2022;86399;6
80333;2002;1966;6
80649;2012;3764;6
80600;2017;2623;6
80600;2017;4195;6
80713;1969;1966;6
80649;2022;4280;6
80222;2012;119097;6
80713;1985;3070;6
80222;2021;2623;6
80649;2016;73532;6
80713;1997;4582;6
80228;2011;4466;6
80688;2020;124034;6
80649;2010;3676;6
80600;2022;4212;6
80713;2006;2440;6
80713;2020;107085;6
80580;2007;117201;6
80716;2005;112355;6
80249;2006;4507;6
80228;1891;106353;6
80806;2007;4215;6
80600;2006;85798;6
80228;2006;4516;6
80637;2019;3424;6
80109;2018;259;6
80713;2016;249291;6
80600;2009;104340;6
80333;1990;106353;6
80030;2021;2603;6
80030;2020;3676;6
80649;2022;3696;6
80713;2013;127314;6
80501;2018;259;6
80600;1994;121555;6
80806;2022;2543;6
80200;2013;112355;6
80222;2005;97947;6
80713;1995;119991;6
80649;2019;4289;6
80808;2018;94207;6
80580;1994;88478;6
80333;2018;1027359;6
80486;2017;4117;6
80228;2013;3429;6
80649;2012;2895;6
80149;2021;4129;6
80598;2021;4516;6
80688;2011;1966;6
80637;2009;113260;6
80808;2018;117201;6
80633;2021;4338;6
80222;2005;136654;6
80600;2006;152226;6
80649;2018;94273;6
80600;2006;96534;6
80109;1999;444432;6
80713;2020;4644;6
80649;2009;4280;6
80333;1993;80759;6
80030;2021;3611;6
80600;2021;3741;6
80303;1994;87964;6
80713;2012;3293;6
80333;1965;4619;6
80303;2014;101220;6
80333;2010;281;6
80688;2011;102870;6
80688;2016;109139;6
80633;1994;119473;6
80633;1994;190355;6
80333;2022;2440;6
80688;2007;3967;6
80222;2020;61057;6
80806;2019;4167;6
80222;2017;3424;6
80713;2004;4338;6
80649;1994;132377;6
80580;1994;87964;6
80688;2020;124578;6
80713;1998;534750;6
80649;1993;95922;6
80025;2020;103245;6
80688;1965;102870;6
80713;2015;4582;6
80713;2016;11867;6
80713;2003;1998;6
80600;2017;2706;6
80713;2018;2823;6
80808;2018;3603;6
80333;2020;459628;6
80649;2012;2706;6
80600;2016;4129;6
80600;2019;4187;6
80222;2005;103057;6
80637;2010;2767;6
80830;2017;3941;6
80333;2000;2938;6
80713;1998;3429;6
80333;2004;3239;6
80228;2017;3726;6
80649;1993;107085;6
80333;1998;836222;6
80635;2020;718406;6
80149;2020;4129;6
80713;2004;612416;6
80333;2006;3302;6
80600;2012;444431;6
80222;2021;4525;6
80649;2018;104340;6
80250;2014;952124;6
80228;2011;88752;6
80333;2012;2767;6
80688;2013;3774;6
80228;2018;2616;6
80109;2021;4117;6
80333;2005;3943;6
80688;1963;1966;6
80228;2006;3696;6
80250;2020;4117;6
80333;2010;96465;6
80649;1991;4117;6
80713;2006;1952;6
80688;2010;3967;6
80333;2008;3192;6
80580;2007;87540;6
80228;2011;2895;6
80600;1996;4172;6
80713;2007;2563;6
80486;2008;105239;6
80713;2002;814245;6
80713;2008;3774;6
80713;2012;4049;6
80713;1998;3803;6
80333;2016;61057;6
80222;2000;92;6
80600;2001;1958;6
80228;2022;3439;6
80486;2008;103545;6
80333;2020;3764;6
80333;2018;4064;6
80600;2006;198226;6
80228;2007;2517;6
80806;2019;4252;6
80713;1977;60811;6
80637;2000;3696;6
80688;2020;95889;6
80649;2012;99570;6
80665;2020;85903;6
80713;2021;108027;6
80713;2005;2571;6
80688;1994;138909;6
80713;2002;2669;6
80333;2017;80759;6
80713;2011;444430;6
80713;2017;199312;6
80713;1995;133346;6
80228;2018;3688;6
80344;2022;4564;6
80665;2016;3302;6
80600;2012;3036;6
80228;1994;194288;6
80713;2022;3343;6
80228;2000;965;6
80808;2020;112745;6
80030;2019;3603;6
80688;2020;99418;11
80633;1994;137914;11
80228;1982;4516;11
