Insee (Pheno!Mois!Insee);Mois Obs;CD REF (pheno!mois!insee);Nb Donnees
80665;7;12246;1
80228;9;11152;1
80087;6;53747;1
80030;8;65889;1
80327;8;18829;1
80371;8;237938;1
80155;9;608364;1
80808;8;53668;1
80149;9;11202;1
80815;6;8428;1
80371;8;54279;1
80637;7;459325;2
80332;6;65322;1
80688;5;65155;5
80222;6;51619;2
80688;6;65271;2
80118;6;53754;1
80649;8;445264;1
80380;9;61678;1
80087;9;51649;1
80249;5;51923;1
80303;6;12106;1
80609;6;51617;1
80713;5;18827;2
80665;7;64140;2
80222;1;10539;2
80635;6;65899;2
80396;4;64260;1
80815;9;239133;2
80333;5;65101;2
80665;6;249405;1
80009;7;837869;1
80486;6;653281;3
80713;12;163017;16
80486;9;11165;1
80815;6;249153;1
80830;4;1563;1
80290;6;11157;2
80087;7;11690;1
80665;7;163103;4
80637;10;11157;1
80649;7;249202;2
80580;8;238460;4
80806;7;247136;1
80333;9;53604;1
80501;7;459325;1
80665;7;249433;1
80025;12;11202;1
80221;8;239131;1
80244;8;459325;1
80633;6;248853;1
80815;6;239133;1
80713;3;11165;2
80806;6;54279;2
80333;7;237926;2
80244;6;51847;1
80087;7;65109;3
80396;5;11165;1
80713;5;65322;1
80635;6;53700;1
80222;5;53747;1
80332;7;11157;1
80501;7;65877;1
80030;6;219833;1
80580;8;11131;2
80580;8;11165;3
80133;10;11165;2
80332;8;51784;1
80333;8;65278;6
80222;4;8369;3
80228;6;54843;1
80030;10;237739;1
80462;6;238233;1
80155;9;239112;1
80228;8;11168;1
80333;8;65877;1
80030;3;199863;1
80637;3;54417;2
80637;4;227333;1
80333;11;11165;2
80598;11;239133;1
80222;6;51615;1
80200;5;199863;1
80200;9;66157;1
80087;9;11152;2
80635;7;11202;1
80332;7;593263;2
80598;8;65344;1
80228;9;51684;1
80087;10;249649;1
80009;8;65889;1
80806;8;249198;1
80580;9;51784;1
80333;6;249204;1
80248;8;237061;1
80244;6;199863;1
80167;10;238079;1
80600;7;901432;2
80244;6;53595;1
80422;8;237925;1
80222;10;39079;1
80248;8;65889;1
80228;9;237850;1
80806;6;247054;2
80333;3;11173;1
80281;10;11165;1
80501;5;11136;1
80327;6;53668;1
80806;7;219740;1
80422;7;51331;1
80665;1;65440;1
80713;6;65115;3
80222;6;12104;2
80222;6;239130;1
80222;8;11165;2
80713;6;794791;1
80290;6;51658;1
80109;6;223152;1
80580;12;433590;1
80149;5;233237;1
80806;5;54279;1
80133;10;238460;1
80244;6;239111;3
80815;4;239133;1
80804;3;64859;1
80688;7;61758;1
80600;7;641941;1
80486;1;608405;1
80250;1;38682;1
80281;8;239133;2
80501;7;11136;1
80688;10;1597;1
80087;7;608405;1
80332;8;608405;2
80600;11;51637;1
80713;12;163093;4
80600;7;54342;1
80665;2;239134;1
80600;7;53973;1
80118;1;65115;1
80215;10;11136;1
80635;7;239128;1
80333;7;54417;3
80244;9;238460;1
80580;9;11145;1
80327;10;219831;1
80332;1;239523;1
80087;7;53291;1
80025;12;11197;2
80228;8;249151;4
80649;6;1550;1
80327;9;608364;1
80600;3;54417;2
80635;9;237404;1
80222;10;249649;1
80806;8;653281;3
80087;1;65278;1
80222;9;29523;1
80087;9;237061;1
80649;7;54856;1
80637;7;64101;1
80327;7;53741;1
80222;9;249158;1
80331;8;837869;1
80496;6;51923;1
80649;7;65131;4
80637;8;837870;1
80333;4;64194;6
80222;7;18829;1
80688;7;56502;2
80222;11;8369;1
80486;9;65740;1
80649;6;11165;2
80688;8;54854;1
80692;9;1550;1
80167;11;11145;1
80688;7;239132;1
80087;5;11755;1
80649;8;219833;2
80222;10;39106;2
80609;10;11136;1
80332;8;65219;2
80692;2;237938;1
80806;1;60585;6
80222;1;65440;1
80290;3;64260;1
80497;10;11165;1
80635;1;65300;1
80332;8;239133;4
80600;8;239133;2
80222;8;51637;1
80688;5;54468;2
80713;6;65339;2
80332;4;65899;1
80248;7;239111;1
80598;10;885038;1
80281;10;238460;1
80808;8;66114;1
80830;10;699887;1
80665;5;199882;1
80222;10;40905;2
80250;1;37151;2
80580;8;65322;9
80806;4;497;1
80281;9;61678;1
80030;7;65109;3
80609;4;11165;2
80222;7;65473;1
80222;7;54279;1
80332;6;65740;1
80222;10;37550;1
80600;8;65165;1
80221;9;64260;1
80692;10;239111;1
80486;8;66036;1
80649;7;247135;1
80222;9;913804;1
80808;10;459325;1
80609;5;11202;1
80649;9;249151;1
80548;7;53595;1
80327;7;249151;2
80716;6;51847;1
80133;10;11202;1
80806;9;459325;1
80665;5;241110;1
80248;5;54417;1
80087;8;65322;1
80422;7;51658;1
80787;1;11165;1
80665;9;237925;1
80688;6;219799;1
80133;10;1597;1
80244;6;65227;1
80833;12;608364;1
80087;7;53595;2
80806;1;913804;1
80598;5;238480;1
80804;8;66103;120
80580;1;593263;2
80486;7;65109;2
80649;7;219740;1
80228;6;11165;2
80030;3;459325;1
80635;4;249639;1
80548;4;608364;1
80155;8;783840;1
80830;5;241502;1
80333;3;64140;4
80713;5;54856;2
80633;7;249828;1
80025;8;51658;1
80497;6;53741;1
80333;7;51667;2
80806;8;249288;1
80030;7;66157;1
80333;7;54854;1
80804;8;65877;3
80548;8;239111;2
80590;7;239134;2
80635;6;249734;1
80030;3;52138;1
80133;6;53623;1
80713;6;241138;1
80221;9;65889;1
80030;6;53747;1
80665;7;249828;1
80763;12;11168;1
80496;10;249649;1
80244;6;238350;1
80333;11;237925;2
80133;6;238233;2
80716;11;11165;1
80600;5;65265;1
80149;3;239133;1
80486;7;249385;1
80598;8;51784;1
80250;7;510329;1
80371;8;237784;1
80649;6;237061;2
80332;10;64177;1
80609;6;51615;1
80649;8;65697;1
80333;4;199863;2
80222;10;459325;4
80167;12;1563;1
80118;6;249151;2
80804;9;65740;3
80281;10;459325;1
80633;7;65339;1
80497;8;66036;1
80303;7;65344;2
80371;7;238350;1
80806;8;219741;2
80598;8;65473;1
80149;12;239133;1
80222;7;249385;1
80713;6;238460;1
80486;6;65376;1
80713;9;65697;2
80832;4;11165;1
80486;4;65899;3
80371;9;608364;3
80633;6;65473;1
80806;1;53595;19
80713;12;61766;2
80649;8;65141;1
80806;6;51923;1
80486;7;641941;1
80589;10;237739;1
80486;1;65376;3
80333;7;54843;1
80580;8;65877;5
80599;9;11133;1
80087;8;53668;1
80609;2;11136;1
80486;7;653286;9
80303;7;64091;1
80600;11;11144;1
80221;9;65861;1
80221;8;247058;1
80688;1;65219;1
80649;7;11157;1
80155;8;237739;1
80806;7;645873;2
80804;9;65774;1
80109;10;11131;1
80574;3;436726;1
80025;4;65991;1
80250;5;38682;1
80637;4;60636;1
80688;6;249821;1
80030;8;53747;2
80713;5;64247;1
80580;7;65165;3
80496;8;239112;1
80815;10;11165;1
80688;6;65278;2
80815;4;459325;1
80087;4;18820;2
80548;7;51703;1
80087;1;65155;1
80149;6;51637;1
80600;4;53604;1
80600;11;237925;2
80600;8;249151;1
80248;7;12178;1
80087;7;65636;2
80222;10;237051;2
80688;9;54342;1
80496;7;53754;1
80087;5;235377;1
80087;6;51647;1
80580;9;11152;1
80333;8;608405;6
80713;6;248853;1
80763;10;65891;1
80537;6;53595;1
80716;10;11131;1
80713;10;65910;1
80087;9;457321;1
80580;5;54451;2
80598;10;459325;2
80303;8;11173;1
80332;8;52148;1
80248;5;52149;1
80713;4;54307;10
80331;9;61678;1
80006;7;239131;1
80688;6;64169;1
80631;7;53668;1
80502;10;11165;1
80713;8;65473;17
80580;11;11165;1
80155;5;12106;1
80327;7;249385;1
80580;8;238310;2
80716;4;219833;1
80332;8;593263;2
80222;9;53878;2
80087;8;521494;1
80806;1;54417;2
80688;7;64117;2
80290;8;239134;1
80087;7;240499;1
80806;7;65487;9
80806;6;249156;1
80332;1;65265;1
80497;8;837869;1
80025;6;51619;1
80303;7;64156;6
80006;7;11165;1
80133;6;1585;1
80808;3;11197;1
80145;12;51619;1
80087;6;249152;1
80713;7;593263;4
80713;8;65878;1
80222;1;53878;3
80635;5;1574;1
80462;9;51677;1
80580;8;459325;3
80808;7;53747;1
80649;5;239133;1
80133;6;249828;1
80806;6;249387;1
80228;8;1550;2
80222;5;248853;1
80332;6;54342;1
80713;6;10958;1
80009;12;459325;1
80637;1;65109;1
80030;8;65636;1
80665;7;66114;2
80688;6;459325;1
80149;3;11168;1
80649;8;65278;1
80688;8;54105;1
80830;9;239112;1
80713;5;53595;10
80609;9;459325;2
80331;7;51637;1
80332;10;1597;1
80501;9;239134;1
80688;5;65131;1
80649;6;65227;1
80333;7;65300;7
80486;6;837869;2
80598;2;237791;1
80087;5;51784;1
80344;1;11136;1
80250;1;32274;1
80222;4;53595;1
80665;3;608364;2
80806;6;53973;1
80200;8;52886;1
80713;5;219482;1
