Afficher Niveau;Afficher Niveau good;Classe;Famille;Gbif Id;Group1 Inpn;Group2 Inpn;Group3 Inpn;Nom Complet;Nom Valide;Nom Vern;Ordre;Phylum;Rang;Regne;Sous Famille;Tribu;URL;Url Inpn;Cd Nom;CD REF (taxonomie);Habitat
Chromista;Chromista;Bacillariophyceae;Bacillariaceae;5265892;Autres;Diatomées;Blebleble;Hantzschia abundans Lange-Bert., 1993;Hantzschia amphioxys (Ehrenberg) Grunow, 1880;;Bacillariales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/658197;https://inpn.mnhn.fr/espece/cd_nom/658197;658197;75343;8
Chromista;Chromista;Bacillariophyceae;Naviculaceae;5269127;Autres;Diatomées;Blebleble;Navicula rhynchocephala Kütz., 1844;Navicula rhynchocephala Kütz., 1844;;Naviculales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/76000;https://inpn.mnhn.fr/espece/cd_nom/76000;76000;76000;4
Hirudinida;Animalia;Clitellata;Piscicolidae;5193997;Vers;Annélides;Blebleble;Piscicola geometra (Linnaeus, 1758);Piscicola geometra (Linnaeus, 1758);Sangsue géomètre, Sangsue piscicole;Hirudinida;Annelida;ES;Animalia;Piscicolinae;;https://taxref.mnhn.fr/taxref-web/taxa/490;https://inpn.mnhn.fr/espece/cd_nom/490;490;490;4
;Animalia;Polychaeta;Arenicolidae;5197443;Vers;Annélides;Blebleble;Arenicola marina (Linnaeus, 1758);Arenicola marina (Linnaeus, 1758);Arénicole des pêcheurs, Ver de vase, Tétine, Bocard, Bouzou, Ver d’eau, Ver à l'oeil, Chique, Buzin;;Annelida;ES;Animalia;;;https://taxref.mnhn.fr/taxref-web/taxa/518;https://inpn.mnhn.fr/espece/cd_nom/518;518;518;1
Isopoda;Animalia;Malacostraca;Porcellionidae;6284337;Arthropodes;Crustacés;Isopodes;Porcellio scaber Latreille, 1804;Porcellio scaber Latreille, 1804;;Isopoda;Arthropoda;ES;Animalia;;;https://taxref.mnhn.fr/taxref-web/taxa/18820;https://inpn.mnhn.fr/espece/cd_nom/18820;18820;18820;3
Isopoda;Animalia;Malacostraca;Armadillidiidae;2203611;Arthropodes;Crustacés;Isopodes;Armadillidium vulgare (Latreille, 1804);Armadillidium vulgare (Latreille, 1804);Cloporte commun (Le), Armadille commune (L'), Armadille mélangée (L');Isopoda;Arthropoda;ES;Animalia;;;https://taxref.mnhn.fr/taxref-web/taxa/18829;https://inpn.mnhn.fr/espece/cd_nom/18829;18829;18829;3
Decapoda;Animalia;Malacostraca;Cambaridae;2227000;Arthropodes;Crustacés;Décapodes;Orconectes limosus (Rafinesque, 1817);Faxonius limosus (Rafinesque, 1817);Écrevisse américaine (L');Decapoda;Arthropoda;ES;Animalia;;;https://taxref.mnhn.fr/taxref-web/taxa/17646;https://inpn.mnhn.fr/espece/cd_nom/17646;17646;853999;2
Isopoda;Animalia;Malacostraca;Philosciidae;2209507;Arthropodes;Crustacés;Isopodes;Philoscia muscorum (Scopoli, 1763);Philoscia muscorum (Scopoli, 1763);Philoscie des mousses (La);Isopoda;Arthropoda;ES;Animalia;;;https://taxref.mnhn.fr/taxref-web/taxa/237061;https://inpn.mnhn.fr/espece/cd_nom/237061;237061;237061;3
Isopoda;Animalia;Malacostraca;Oniscidae;5176315;Arthropodes;Crustacés;Isopodes;Oniscus asellus Linnaeus, 1758;Oniscus asellus Linnaeus, 1758;Cloporte commun (Le);Isopoda;Arthropoda;ES;Animalia;;;https://taxref.mnhn.fr/taxref-web/taxa/237051;https://inpn.mnhn.fr/espece/cd_nom/237051;237051;237051;3
Glomerida;Animalia;Diplopoda;Glomeridae;9728038;Arthropodes;Myriapodes;Diplopodes;Glomeris marginata (Villers, 1789);Glomeris marginata (Villers, 1789);;Glomerida;Arthropoda;ES;Animalia;Glomerinae;Glomerini;https://taxref.mnhn.fr/taxref-web/taxa/64859;https://inpn.mnhn.fr/espece/cd_nom/64859;64859;64859;3
Julida;Animalia;Diplopoda;Julidae;1012292;Arthropodes;Myriapodes;Diplopodes;Ommatoiulus sabulosus (Linnaeus, 1758);Ommatoiulus sabulosus (Linnaeus, 1758);;Julida;Arthropoda;ES;Animalia;Julinae;Ommatoiulini;https://taxref.mnhn.fr/taxref-web/taxa/227668;https://inpn.mnhn.fr/espece/cd_nom/227668;227668;227668;3
Isopoda;Animalia;Malacostraca;Armadillidiidae;2203834;Arthropodes;Crustacés;Isopodes;Armadillidium album Dollfus, 1887;Armadillidium album Dollfus, 1887;;Isopoda;Arthropoda;ES;Animalia;;;https://taxref.mnhn.fr/taxref-web/taxa/18827;https://inpn.mnhn.fr/espece/cd_nom/18827;18827;18827;3
